timestamp,sentiment,confidence
2026-01-23T17:23:36.655134,positive,0.98676443
2026-01-23T17:23:36.727935,negative,0.9393439
2026-01-23T17:23:36.814725,positive,0.8634021
2026-01-23T17:23:36.870391,neutral,0.47210017
2026-01-23T17:23:36.925859,negative,0.9102806
2026-01-23T17:23:36.978925,negative,0.9396097
2026-01-23T17:23:37.033854,positive,0.5043622
2026-01-24T14:58:41.554122,positive,0.98676443
2026-01-24T14:58:41.652241,negative,0.9393439
2026-01-24T14:58:41.795874,positive,0.8634021
2026-01-24T14:58:41.874994,neutral,0.47210017
2026-01-24T14:58:41.950507,negative,0.9102806
2026-01-24T14:58:42.039873,negative,0.9396097
2026-01-24T14:58:42.131577,positive,0.5043622
